[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:52:07
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 283
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.4775,.1406,5.611004E-04,1.495412E-03,9.673335E-04,-1.280524E-02,1.868321E-03,2.946777E-03,8.691397E-03,.1507607,5.633595E-04,1.491233E-03,9.676599E-04,-1.333933E-02,1.861931E-03,2.924093E-03,8.691534E-03,.1538807,1.277154E-04,2.398355E-04,1.786676E-04,-1.882093E-03,3.030247E-04,4.446244E-04,1.280049E-03,2.266284E-02,1.280483E-04,2.392196E-04,1.787157E-04,-1.960799E-03,3.02083E-04,4.412815E-04,1.280049E-03,2.266284E-02,
45630.4775115741,.2762,2.775955E-03,1.699124E-02,2.068925E-02,.1579752,7.116465E-04,1.174502E-02,-1.712356E-04,-1.540894E-03,2.764642E-03,1.625559E-02,1.959147E-02,.1123169,7.118263E-04,1.136926E-02,-1.672092E-04,-1.29933E-03,4.541081E-04,2.523383E-03,3.084994E-03,2.328503E-02,1.32571E-04,1.74118E-03,-2.46258E-05,-1.913594E-04,4.524411E-04,2.414975E-03,2.92322E-03,1.655657E-02,1.325974E-04,1.685806E-03,-2.46258E-05,-1.913594E-04,
45630.4775231481,.1745,2.351832E-03,1.266533E-02,1.639815E-02,2.445139,5.953062E-04,2.800212E-02,-4.254425E-05,1.890186E-03,2.345247E-03,1.225355E-02,1.570458E-02,.5134863,5.957247E-04,2.596985E-02,-4.180229E-05,8.662203E-04,3.916072E-04,1.885895E-03,2.452635E-03,.3603337,1.154264E-04,4.136913E-03,-6.156449E-06,1.275729E-04,3.906368E-04,1.825213E-03,2.350427E-03,7.567503E-02,1.154881E-04,3.837427E-03,-6.156449E-06,1.275729E-04,
45630.4775347222,.29315,-1.025655E-04,2.470813E-04,-3.251742E-04,1.999513E-03,2.925888E-05,-9.700066E-04,-2.918253E-04,-4.343306E-04,-1.016498E-04,2.47427E-04,-3.254975E-04,1.988103E-03,2.97295E-05,-9.735094E-04,-2.92616E-04,-4.331101E-04,2.991404E-05,5.58748E-05,-1.180325E-05,2.996146E-04,3.201067E-05,-1.325738E-04,-4.309514E-05,-6.378647E-05,3.004898E-05,5.592573E-05,-1.185089E-05,2.979332E-04,3.208003E-05,-1.3309E-04,-4.309514E-05,-6.378647E-05,
45630.4775462963,.3101,-1.025655E-04,1.435946E-04,-2.9848E-04,-3.362845E-05,-1.420688E-05,-3.707857E-04,0,2.16499E-03,-1.016498E-04,1.439259E-04,-2.986914E-04,-3.362845E-05,-1.380859E-05,-3.714232E-04,0,2.165551E-03,2.991404E-05,4.062444E-05,-7.869447E-06,0,2.560533E-05,-4.426937E-05,0,3.189323E-04,3.004898E-05,4.067326E-05,-7.900594E-06,0,2.566402E-05,-4.436332E-05,0,3.189323E-04,
45630.4775578704,.1067,-3.055579E-04,7.463675E-05,-3.518643E-04,-1.184257E-03,2.925888E-05,-2.206492E-04,0,-4.322382E-04,-3.055579E-04,7.492516E-05,-3.523036E-04,-1.188904E-03,2.97295E-05,-2.209016E-04,0,-4.331101E-04,0,3.046244E-05,-1.573644E-05,-1.695628E-04,3.201067E-05,-2.214446E-05,0,-6.378647E-05,0,3.050494E-05,-1.580119E-05,-1.702475E-04,3.208003E-05,-2.218166E-05,0,-6.378647E-05,
45630.4775694444,.1406,-1.257808E-04,1.263526E-04,-4.319095E-04,1.125111E-03,2.925888E-05,-3.707857E-04,0,4.337589E-04,-1.249578E-04,1.266757E-04,-4.327221E-04,1.121647E-03,2.97295E-05,-3.714232E-04,0,4.331101E-04,2.649291E-05,3.808357E-05,-2.753234E-05,1.70758E-04,3.201067E-05,-4.426937E-05,0,6.378647E-05,2.661418E-05,3.813118E-05,-2.765208E-05,1.702475E-04,3.208003E-05,-4.436332E-05,0,6.378647E-05,
45630.4775810185,.2084,3.695621E-04,1.263526E-04,2.178431E-03,8.346632E-04,4.374989E-05,-2.206492E-04,-4.171044E-05,0,3.716922E-04,1.266757E-04,2.170622E-03,8.328281E-04,4.42422E-05,-2.209016E-04,-4.180229E-05,0,9.948929E-05,3.808357E-05,3.571414E-04,1.279561E-04,3.414615E-05,-2.214446E-05,-6.156449E-06,0,9.980318E-05,3.813118E-05,3.559906E-04,1.276856E-04,3.42187E-05,-2.218166E-05,-6.156449E-06,0,
45630.4775925926,7.280001E-02,-9.131195E-04,1.575263E-03,2.422655E-03,5.447246E-04,-4.317799E-05,-5.207896E-04,-4.171805E-04,-1.300135E-03,-9.172821E-04,.0015705,2.412193E-03,5.440092E-04,-4.283399E-05,-5.219447E-04,-4.180229E-04,-1.29933E-03,-8.953353E-05,2.516027E-04,3.931315E-04,8.52292E-05,2.133599E-05,-6.637475E-05,-6.156449E-05,-1.913594E-04,-9.014695E-05,2.509009E-04,3.915897E-04,8.512377E-05,2.138668E-05,-6.654498E-05,-6.156449E-05,-1.913594E-04,
45630.4776041667,.22535,-9.131195E-04,9.525301E-04,-3.251742E-04,2.292003E-03,-1.420688E-05,-6.70661E-04,-4.16819E-04,0,-9.172821E-04,9.513812E-04,-3.254975E-04,2.276922E-03,-1.380859E-05,-6.724663E-04,-4.180229E-04,0,-8.953353E-05,1.598335E-04,-1.180325E-05,3.427175E-04,2.560533E-05,-8.84606E-05,-6.156449E-05,0,-9.014695E-05,1.596642E-04,-1.185089E-05,3.404951E-04,2.566402E-05,-8.872664E-05,-6.156449E-05,0,
