[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 08:55:40
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 284
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5079976852,-.1306,-4.687539E-04,4.388329E-04,1.701291E-03,-3.12306E-04,1.960133E-04,5.909422E-03,7.757146E-04,-1.314968E-03,-4.696623E-04,4.390468E-04,1.697688E-03,-3.126871E-04,1.966602E-04,5.81436E-03,7.780162E-04,-1.315867E-03,-2.404944E-05,8.413233E-05,2.868274E-04,-4.106741E-05,5.658449E-05,8.812156E-04,1.145827E-04,-1.937949E-04,-2.41833E-05,8.416386E-05,2.862965E-04,-4.112357E-05,5.667983E-05,8.672067E-04,1.145827E-04,-1.937949E-04,
45630.5080092593,.19145,-2.609088E-04,-4.243937E-04,1.039359E-04,2.565484E-04,-1.461277E-05,-7.038007E-05,6.592023E-04,-1.318959E-03,-2.60687E-04,-4.252117E-04,1.049064E-04,2.564429E-04,-1.421521E-05,-7.038007E-05,6.617614E-04,-1.318719E-03,6.579728E-06,-4.307734E-05,5.14327E-05,4.276201E-05,2.554551E-05,0,9.746118E-05,-1.942149E-04,6.612408E-06,-4.31979E-05,5.157572E-05,4.274646E-05,2.56041E-05,0,9.746118E-05,-1.942149E-04,
45630.5080208333,3.890001E-02,-1.513438E-05,-4.587523E-04,-2.718969E-04,-3.362845E-05,-1.461277E-05,7.823834E-05,7.41828E-03,0,-1.389737E-05,-4.596981E-04,-2.72001E-04,-3.362845E-05,-1.421521E-05,7.835736E-05,7.444816E-03,0,4.279835E-05,-4.814062E-05,-3.95203E-06,0,2.554551E-05,2.19012E-05,1.096438E-03,0,4.298065E-05,-4.828E-05,-3.967364E-06,0,2.56041E-05,2.191874E-05,1.096438E-03,0,
45630.5080324074,3.890001E-02,2.085973E-04,-4.243937E-04,-1.914306E-04,2.565484E-04,2.746866E-04,7.823834E-05,-4.535063E-04,-4.396529E-04,2.104569E-04,-4.252117E-04,-1.912351E-04,2.564429E-04,2.75361E-04,7.835736E-05,-4.549609E-04,-4.39573E-04,7.576866E-05,-4.307734E-05,7.905915E-06,4.276201E-05,6.817821E-05,2.19012E-05,-6.700456E-05,-6.473829E-05,7.604268E-05,-4.31979E-05,7.934727E-06,4.274646E-05,6.82776E-05,2.191874E-05,-6.700456E-05,-6.473829E-05,
45630.5080439815,.25925,3.653799E-04,-1.836972E-04,-1.646001E-04,2.565484E-04,4.050287E-04,6.7401E-04,-6.187654E-04,-1.758612E-03,3.675048E-04,-1.838067E-04,-1.643132E-04,2.564429E-04,4.056703E-04,6.733071E-04,-6.204013E-04,-1.758292E-03,9.887298E-05,-7.607024E-06,1.18598E-05,4.276201E-05,8.738612E-05,1.096973E-04,-9.136985E-05,-2.589532E-04,9.918611E-05,-7.623158E-06,1.190209E-05,4.274646E-05,8.748068E-05,1.095937E-04,-9.136985E-05,-2.589532E-04,
45630.5080555556,8.975001E-02,-2.146629E-04,-1.664921E-04,-1.914306E-04,1.715126E-03,1.010491E-04,-7.038007E-05,-6.18267E-04,-4.406232E-04,-2.142236E-04,-1.665634E-04,-1.912351E-04,.0017068,1.016153E-04,-7.038007E-05,-6.204013E-04,-4.39573E-04,1.339477E-05,-5.071594E-06,7.905915E-06,2.577058E-04,4.259006E-05,0,-9.136985E-05,-6.473829E-05,1.345951E-05,-5.082105E-06,7.934727E-06,2.564788E-04,4.26735E-05,0,-9.136985E-05,-6.473829E-05,
45630.5080671296,.1406,7.326622E-04,-1.32077E-04,5.741424E-04,-3.362845E-05,3.615704E-04,1.271862E-03,-2.889295E-04,-1.757836E-03,7.348591E-04,-1.32077E-04,5.752981E-04,-3.362845E-05,3.622339E-04,1.268257E-03,-2.895206E-04,-1.758292E-03,1.529976E-04,0,1.207249E-04,0,8.098188E-05,.0001978,-4.263927E-05,-2.589532E-04,1.533214E-04,0,1.208952E-04,0,8.107966E-05,1.972687E-04,-4.263927E-05,-2.589532E-04,
45630.5080787037,5.585001E-02,7.403742E-03,4.994758E-03,5.174951E-03,.1866695,3.739795E-03,1.474156E-02,2.194464E-03,2.824988E-03,7.277176E-03,4.932555E-03,5.111501E-03,.1269454,3.70684E-03,1.415384E-02,2.163132E-03,2.329737E-03,1.136084E-03,7.555179E-04,7.987245E-04,2.751357E-02,5.788151E-04,2.182767E-03,3.185762E-04,3.431129E-04,1.117432E-03,7.463512E-04,7.893742E-04,1.871231E-02,5.739586E-04,2.096157E-03,3.185762E-04,3.431129E-04,
45630.5080902778,.12365,1.171845E-02,8.556434E-03,1.130983E-02,5.867963E-03,9.966254E-03,9.079244E-03,4.240921E-04,2.407398E-03,.0113833,8.368829E-03,1.098138E-02,5.767799E-03,9.708511E-03,8.853866E-03,4.136009E-04,2.386881E-03,1.771922E-03,1.280385E-03,1.702793E-03,8.6969E-04,1.496379E-03,1.348337E-03,6.091323E-05,3.515289E-04,1.722532E-03,1.252739E-03,1.654391E-03,8.549292E-04,1.458397E-03,1.315124E-03,6.091323E-05,3.515289E-04,
45630.5081018519,.1745,1.229168E-02,9.06232E-03,1.230822E-02,7.173647E-03,1.878461E-04,5.508136E-03,4.714225E-04,2.376465E-03,1.192175E-02,8.85164E-03,1.191822E-02,7.024311E-03,1.884882E-04,5.425714E-03,4.590969E-04,2.351715E-03,1.856396E-03,1.354935E-03,1.849921E-03,1.062103E-03,5.538094E-05,8.2208E-04,6.761369E-05,3.463498E-04,1.801881E-03,1.323888E-03,1.792448E-03,1.040096E-03,5.547555E-05,8.099339E-04,6.761369E-05,3.463498E-04,
