[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:01:10
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 287
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.5655787037,5.00001E-03,4.110061E-03,7.779529E-03,3.829561E-03,1.068538E-02,2.191527E-03,4.448052E-03,1.32358E-04,3.838203E-04,4.077403E-03,7.624843E-03,3.797273E-03,1.035745E-02,2.181947E-03,4.394776E-03,1.305721E-04,3.779036E-04,6.507091E-04,1.165897E-03,6.004606E-04,1.57961E-03,3.50654E-04,6.658603E-04,1.923006E-05,5.565591E-05,6.458965E-04,1.143101E-03,5.957026E-04,1.531285E-03,3.492423E-04,6.580092E-04,1.923006E-05,5.565591E-05,
45630.5655902778,-1.194999E-02,.14035,7.997975E-04,4.802854E-04,-3.362845E-05,3.185969E-04,9.20332E-04,1.395738E-03,2.096888E-03,.1045197,7.992071E-04,4.815067E-04,-3.362845E-05,3.192712E-04,9.186845E-04,1.204539E-03,2.097431E-03,2.072775E-02,1.37326E-04,1.068936E-04,0,7.464906E-05,1.459966E-04,1.77399E-04,.0003089,1.544761E-02,1.37239E-04,1.070736E-04,0,7.474844E-05,1.457538E-04,1.77399E-04,.0003089,
45630.5656018518,.1406,.1234283,3.199591E-02,2.184747E-03,5.462295E-04,2.257052E-03,1.650512E-03,1.481863E-04,-2.186182E-03,9.456538E-02,2.949655E-02,2.176873E-03,5.455096E-04,2.246753E-03,1.643998E-03,1.246075E-04,-2.184824E-03,1.823409E-02,4.734552E-03,3.580721E-04,8.545097E-05,3.603101E-04,2.535998E-04,1.835162E-05,-3.217709E-04,1.398069E-02,4.366233E-03,3.569119E-04,8.534487E-05,3.587925E-04,2.5264E-04,1.835162E-05,-3.217709E-04,
45630.5656134259,.1745,-3.055579E-04,1.263288E-03,1.208717E-03,-6.114483E-04,4.631358E-04,-2.195759E-04,-1.24411E-03,1.745869E-03,-3.055579E-04,1.260603E-03,1.208092E-03,-6.127665E-04,4.637313E-04,-2.19826E-04,-1.246075E-03,1.747859E-03,0,2.056284E-04,2.142391E-04,-8.515061E-05,9.594909E-05,-2.19863E-05,-1.835162E-04,2.574167E-04,0,2.052328E-04,2.141471E-04,-8.534487E-05,9.603686E-05,-2.202316E-05,-1.835162E-04,2.574167E-04,
45630.565625,.2423,1.523036E-03,-5.618578E-04,3.906031E-03,4.365361E-03,4.421331E-03,3.77993E-04,5.806166E-04,-3.078217E-03,1.52279E-03,-5.63227E-04,3.87224E-03,4.309907E-03,4.373885E-03,3.779579E-04,5.815018E-04,-3.058754E-03,2.694713E-04,-6.333478E-05,6.117297E-04,6.482585E-04,6.792499E-04,6.607464E-05,8.564091E-05,-4.504792E-04,2.694351E-04,-6.353657E-05,6.067501E-04,6.400866E-04,6.72258E-04,6.606947E-05,8.564091E-05,-4.504792E-04,
45630.5656365741,.19145,1.764959E-02,1.677969E-02,1.044874E-02,5.558079E-03,2.000231E-02,8.026418E-03,7.810089E-04,1.321561E-03,.0168776,1.606192E-02,1.016932E-02,5.468183E-03,1.897179E-02,7.850257E-03,7.476451E-04,1.310894E-03,2.645966E-03,2.492209E-03,1.575898E-03,8.240239E-04,2.975346E-03,1.193187E-03,1.101097E-04,1.930625E-04,2.532202E-03,2.386434E-03,1.534721E-03,8.107763E-04,2.823483E-03,1.167227E-03,1.101097E-04,1.930625E-04,
45630.5656481481,.25925,1.115242E-02,8.341438E-03,1.029229E-02,5.605097E-03,9.265974E-03,7.725052E-03,3.829031E-04,1.365707E-03,.01085,8.16325E-03,1.002137E-02,5.513678E-03,9.043664E-03,7.561901E-03,3.738225E-04,1.354591E-03,1.688508E-03,1.248703E-03,1.552843E-03,8.309527E-04,1.393182E-03,1.148777E-03,5.505487E-05,1.994979E-04,1.643943E-03,1.222444E-03,1.512918E-03,8.174807E-04,1.360422E-03,1.124734E-03,5.505487E-05,1.994979E-04,
45630.5656597222,1.022,1.112858E-02,8.233315E-03,1.060007E-02,5.699436E-03,9.601468E-03,7.140737E-03,4.253726E-04,1.978347E-03,1.082751E-02,8.059775E-03,.0103123,5.604923E-03,9.362496E-03,7.001431E-03,4.153584E-04,1.961972E-03,1.684996E-03,1.232769E-03,1.598199E-03,8.44855E-04,1.442623E-03,1.062669E-03,6.117208E-05,2.889502E-04,1.640628E-03,1.207195E-03,1.555792E-03,8.309271E-04,1.407406E-03,1.04214E-03,6.117208E-05,2.889502E-04,
45630.5656712963,1.7678,1.158195E-02,8.593966E-03,1.094979E-02,5.789259E-03,9.708344E-03,7.168376E-03,4.641629E-04,2.146063E-03,1.125484E-02,8.404694E-03,.0106423,5.691754E-03,9.463943E-03,7.027984E-03,4.527406E-04,2.128019E-03,1.751807E-03,1.285916E-03,1.649736E-03,8.580918E-04,1.458372E-03,1.066742E-03,6.667757E-05,3.134048E-04,1.703602E-03,1.258024E-03,1.604422E-03,8.437229E-04,1.422356E-03,1.046053E-03,6.667757E-05,3.134048E-04,
45630.5656828704,2.3102,1.198853E-02,9.335455E-03,1.131553E-02,6.515174E-03,1.207525E-02,7.461327E-03,4.094322E-04,2.452733E-03,1.163719E-02,9.111781E-03,1.098674E-02,6.391824E-03,1.169576E-02,7.309164E-03,3.987441E-04,2.429524E-03,1.811722E-03,1.395186E-03,1.703634E-03,9.650665E-04,1.807172E-03,1.109913E-03,5.872519E-05,3.578092E-04,1.759947E-03,1.362224E-03,1.655181E-03,9.46889E-04,1.751249E-03,1.087489E-03,5.872519E-05,3.578092E-04,
