[Header]
HydroSoftVersion=2.90
CreationDate=12/05/24 09:04:13
FileType=dat
DeviceType=HydroScat-6
DataSource=Instrument Cast 289
CalSource=HydroScat-6
Serial=HS120460
Config=M2B2F1
[SigmaParams]
ad400=.01
aStarFile=C:\Program Files (x86)\HydroSoft\aStar.csv
awFile=HydroSoft.exe
bbTildeValue=.015
C=.1
gammad=.011
gammay=.014
ExponentialFit=True
[bbParams]
PureWaterModel=MorelFresh
bb0=4.4968E-04
beta0=8.34399E-05
lambda0=525
gammaLambda=4.32
chi=1.08
[Channels]
"bb420"
"bb510"
"bb442"
"bb700"
"bb470"
"bb590"
"fl510"
"fl700"
[ColumnHeadings]
Time,Depth,bb420,bb510,bb442,bb700,bb470,bb590,fl510,fl700,bb420uncorr,bb510uncorr,bb442uncorr,bb700uncorr,bb470uncorr,bb590uncorr,fl510uncorr,fl700uncorr,betabb420,betabb510,betabb442,betabb700,betabb470,betabb590,betafl510,betafl700,betabb420uncorr,betabb510uncorr,betabb442uncorr,betabb700uncorr,betabb470uncorr,betabb590uncorr,betafl510uncorr,betafl700uncorr
[Data]
45630.6041435185,-1.194999E-02,-3.63956E-04,-4.463585E-05,-9.557988E-05,3.850948E-04,1.614404E-04,-1.281068E-04,-2.130673E-05,1.933364E-04,-3.642634E-04,-4.448457E-05,-9.507698E-05,3.847793E-04,1.62064E-04,-1.28188E-04,-2.13812E-05,1.932636E-04,-8.605861E-06,1.28858E-05,2.2031E-05,6.170529E-05,5.148966E-05,-8.506915E-06,-3.148925E-06,2.846297E-05,-8.65116E-06,1.290809E-05,2.210511E-05,6.16588E-05,5.158155E-05,-8.518888E-06,-3.148925E-06,2.846297E-05,
45630.6041550926,.1406,-2.387864E-04,3.237243E-03,1.646742E-03,4.469103E-04,5.920042E-04,5.998529E-05,-4.119393E-05,-2.215429E-04,-2.38459E-04,3.212432E-03,1.643538E-03,4.464582E-04,5.924284E-04,6.009669E-05,-4.114247E-05,-2.214386E-04,9.839798E-06,4.96521E-04,2.787889E-04,7.081475E-05,1.149398E-04,1.921134E-05,-6.059275E-06,-3.261246E-05,9.888043E-06,4.928648E-04,2.783166E-04,7.074812E-05,1.150023E-04,1.922775E-05,-6.059275E-06,-3.261246E-05,
45630.6041666667,.15755,-1.274438E-04,-1.209473E-03,1.948795E-03,-6.137044E-04,1.244656E-03,3.732319E-04,4.094592E-04,0,-1.266276E-04,-1.214879E-03,1.943172E-03,-6.150318E-04,1.242753E-03,3.732033E-04,4.114248E-04,0,2.624784E-05,-1.587708E-04,3.23301E-04,-8.548309E-05,2.111181E-04,6.537302E-05,6.059275E-05,0,2.636811E-05,-1.595675E-04,3.224724E-04,-8.56787E-05,2.108376E-04,6.536882E-05,6.059275E-05,0,
45630.6041782407,.1067,-1.942579E-04,-2.863912E-04,-2.991959E-05,1.42556E-03,2.015836E-04,-7.038007E-05,1.639809E-03,0,-1.937265E-04,-2.867631E-04,-2.923714E-05,1.41988E-03,2.022337E-04,-7.038007E-05,1.645699E-03,0,1.640176E-05,-2.274056E-05,3.170705E-05,2.150339E-04,5.740537E-05,0,2.42371E-04,0,1.648007E-05,-2.279536E-05,3.180762E-05,2.141968E-04,5.750117E-05,0,2.42371E-04,0,
45630.6041898148,.29315,9.411945E-03,1.778956E-04,9.083736E-03,2.081688E-02,1.300787E-02,7.572473E-03,9.562343E-04,6.842812E-04,9.200111E-03,1.782383E-04,8.874242E-03,1.961792E-02,1.256746E-02,7.415724E-03,9.462769E-04,6.643159E-04,1.432023E-03,4.567922E-05,1.374744E-03,3.072643E-03,1.944608E-03,1.126292E-03,1.393633E-04,9.783739E-05,1.400806E-03,4.572972E-05,1.343872E-03,2.895957E-03,1.879707E-03,1.103192E-03,1.393633E-04,9.783739E-05,
45630.6042013889,7.280001E-02,1.407215E-02,1.454629E-02,2.605419E-02,7.289836E-03,2.552876E-02,9.454085E-03,2.559237E-04,2.730444E-03,.0135839,1.400451E-02,2.433392E-02,7.135665E-03,2.387404E-02,9.209779E-03,2.468548E-04,2.701551E-03,2.118776E-03,2.163083E-03,3.875601E-03,1.079225E-03,3.789753E-03,1.403576E-03,3.635565E-05,3.978721E-04,2.046825E-03,2.083243E-03,3.622093E-03,1.056505E-03,3.545905E-03,1.367574E-03,3.635565E-05,3.978721E-04,
45630.604212963,2.195001E-02,1.356734E-02,1.332193E-02,2.586869E-02,1.725165E-02,2.367263E-02,1.266299E-02,2.638567E-04,1.979324E-03,1.311421E-02,1.286669E-02,2.417204E-02,.016417,2.224249E-02,1.222705E-02,2.550833E-04,1.930945E-03,2.044385E-03,1.982654E-03,3.848264E-03,2.547251E-03,3.516224E-03,1.876458E-03,3.75675E-05,2.843807E-04,1.977609E-03,1.915567E-03,3.598237E-03,2.424252E-03,3.305471E-03,1.812216E-03,3.75675E-05,2.843807E-04,
45630.604224537,.22535,1.503737E-02,8.554639E-03,1.495539E-02,7.959256E-03,.0103893,1.535935E-02,2.881342E-04,2.177521E-03,1.447855E-02,8.367115E-03,1.437821E-02,7.77578E-03,1.010893E-02,1.472242E-02,2.797688E-04,2.152384E-03,2.261015E-03,1.280121E-03,2.240022E-03,1.177874E-03,1.558721E-03,2.273807E-03,4.120307E-05,3.169932E-04,2.178665E-03,1.252486E-03,2.154966E-03,1.150836E-03,1.517405E-03,2.179946E-03,4.120307E-05,3.169932E-04,
45630.6042361111,.25925,1.598311E-02,.0108048,1.736799E-02,1.131102E-02,2.110139E-02,8.117833E-03,2.595709E-04,2.291583E-03,1.535084E-02,1.050484E-02,1.659059E-02,1.094435E-02,1.995751E-02,7.937631E-03,2.509691E-04,2.254245E-03,2.400386E-03,1.611717E-03,2.595556E-03,1.671809E-03,3.137313E-03,1.206659E-03,3.696157E-05,3.319949E-04,2.30721E-03,1.567513E-03,2.480994E-03,1.617774E-03,2.968744E-03,1.180103E-03,3.696157E-05,3.319949E-04,
45630.6042476852,.1067,1.547329E-02,1.417446E-02,1.680627E-02,1.169834E-02,1.260502E-02,1.062708E-02,.0003118,2.22978E-03,1.488115E-02,1.365971E-02,1.607797E-02,1.130665E-02,1.219145E-02,1.031883E-02,3.003401E-04,2.192243E-03,2.325256E-03,2.108288E-03,2.512778E-03,1.728885E-03,1.885241E-03,1.576434E-03,4.42327E-05,3.228634E-04,2.237994E-03,2.032432E-03,2.405451E-03,1.671165E-03,1.824296E-03,1.53101E-03,4.42327E-05,3.228634E-04,
45630.6042592593,.32705,1.220383E-02,9.132783E-03,1.127831E-02,6.569605E-03,1.134008E-02,7.504418E-03,3.379684E-04,2.231247E-03,1.183933E-02,8.918786E-03,1.095172E-02,6.444198E-03,1.100557E-02,7.350485E-03,3.291398E-04,2.209957E-03,1.84345E-03,1.365319E-03,1.698149E-03,9.730877E-04,1.698834E-03,1.116263E-03,4.84742E-05,3.254724E-04,1.789736E-03,1.333783E-03,1.65002E-03,9.546071E-04,1.649539E-03,1.093578E-03,4.84742E-05,3.254724E-04,
45630.6042708333,5.585001E-02,.0181341,1.439747E-02,1.790645E-02,1.019457E-02,2.277385E-02,.010679,2.701035E-04,2.216013E-03,1.731907E-02,1.386659E-02,1.708059E-02,9.895588E-03,2.144708E-02,1.036776E-02,2.591976E-04,2.183385E-03,2.717366E-03,2.141152E-03,2.674906E-03,1.507282E-03,3.383775E-03,1.584086E-03,3.817343E-05,3.215589E-04,2.597259E-03,2.062918E-03,2.553203E-03,1.463222E-03,3.188256E-03,1.53822E-03,3.817343E-05,3.215589E-04,
45630.6042824074,.19145,1.196562E-02,8.717064E-03,1.084861E-02,5.888565E-03,9.930974E-03,7.317402E-03,2.616966E-04,2.26029E-03,1.161567E-02,8.522272E-03,1.054689E-02,5.787699E-03,9.675074E-03,7.17108E-03,2.550833E-04,2.240959E-03,1.808346E-03,1.304057E-03,1.634826E-03,8.72726E-04,1.49118E-03,1.088703E-03,3.75675E-05,3.300381E-04,1.756776E-03,1.275351E-03,1.590362E-03,8.578618E-04,1.45347E-03,1.06714E-03,3.75675E-05,3.300381E-04,
45630.6042939815,.6152,1.187042E-02,9.042331E-03,1.092041E-02,6.170827E-03,1.031283E-02,7.266432E-03,2.955546E-04,2.417635E-03,.0115262,8.832587E-03,.0106146,6.060105E-03,1.003662E-02,7.122151E-03,2.879973E-04,2.395966E-03,1.794317E-03,1.35199E-03,1.645406E-03,9.143217E-04,1.547453E-03,1.081192E-03,4.241492E-05,3.528669E-04,1.743592E-03,1.321081E-03,1.60034E-03,8.980051E-04,1.506749E-03,1.05993E-03,4.241492E-05,3.528669E-04,
45630.6043055556,.66605,1.187042E-02,8.554639E-03,1.106409E-02,5.992948E-03,1.015999E-02,7.26735E-03,3.164593E-04,2.224895E-03,.0115262,8.367115E-03,1.075001E-02,5.888489E-03,9.892004E-03,7.123033E-03,3.085686E-04,2.205529E-03,1.794317E-03,1.280121E-03,1.666579E-03,8.881085E-04,1.52493E-03,1.081327E-03,4.544456E-05,3.248201E-04,1.743592E-03,1.252486E-03,1.620295E-03,8.727148E-04,1.485437E-03,1.06006E-03,4.544456E-05,3.248201E-04,
45630.6043171296,.90335,1.151385E-02,8.392354E-03,1.062571E-02,6.151054E-03,1.006835E-02,7.215613E-03,4.090027E-04,2.29691E-03,1.119071E-02,8.211956E-03,1.033652E-02,6.041036E-03,9.805232E-03,7.073354E-03,3.99082E-04,2.276389E-03,1.741771E-03,1.256206E-03,1.601977E-03,9.114078E-04,1.511425E-03,1.073703E-03,5.877496E-05,3.352561E-04,1.694151E-03,1.229621E-03,1.55936E-03,8.951951E-04,1.47265E-03,1.052739E-03,5.877496E-05,3.352561E-04,
45630.6043287037,.93725,1.141887E-02,8.428405E-03,1.159615E-02,6.558279E-03,9.885203E-03,7.112185E-03,3.58376E-04,2.307223E-03,1.110124E-02,8.246436E-03,1.125056E-02,6.433302E-03,9.631689E-03,6.973998E-03,3.49711E-04,2.285247E-03,1.727775E-03,1.261518E-03,1.744986E-03,9.714187E-04,1.484435E-03,1.058461E-03,5.150383E-05,3.365606E-04,1.680967E-03,1.234702E-03,1.694058E-03,9.530014E-04,1.447076E-03,1.038097E-03,5.150383E-05,3.365606E-04,
45630.6043402778,.80165,1.246621E-02,9.386276E-03,1.297317E-02,7.043111E-03,1.214125E-02,7.876005E-03,3.170637E-04,2.416246E-03,1.208536E-02,9.160142E-03,.0125394,6.899117E-03,1.175759E-02,7.706398E-03,3.085686E-04,2.391537E-03,1.882115E-03,1.402675E-03,1.947911E-03,1.042866E-03,1.816898E-03,1.171022E-03,4.544456E-05,3.522146E-04,1.825992E-03,1.369351E-03,1.883989E-03,1.021646E-03,1.760361E-03,1.146027E-03,4.544456E-05,3.522146E-04,
45630.6043518518,1.31015,1.218796E-02,9.205561E-03,1.083341E-02,6.145494E-03,9.628405E-03,7.388722E-03,3.256619E-04,2.378221E-03,1.182444E-02,8.988113E-03,1.053255E-02,6.035674E-03,9.38807E-03,7.239519E-03,3.171308E-04,2.356992E-03,1.841112E-03,1.376044E-03,1.632586E-03,9.105884E-04,1.446592E-03,1.099213E-03,4.670556E-05,3.47127E-04,1.787542E-03,.001344,1.588249E-03,8.944049E-04,1.411175E-03,1.077226E-03,4.670556E-05,3.47127E-04,
45630.6043634259,1.20845,1.128388E-02,8.032556E-03,1.094106E-02,6.464822E-03,9.918139E-03,7.035075E-03,3.163219E-04,2.379333E-03,.010974,7.867484E-03,1.063407E-02,6.34336E-03,9.66291E-03,6.899887E-03,3.088936E-04,2.356992E-03,1.707881E-03,1.203184E-03,1.648449E-03,9.576464E-04,1.489289E-03,1.047098E-03,4.549243E-05,3.47127E-04,1.662216E-03,1.178858E-03,1.603209E-03,9.397471E-04,1.451677E-03,1.027176E-03,4.549243E-05,3.47127E-04,
