"","Time.ms.","Depth","Temp(C)","Cond(S/m)","Sal(PSU)"
"1",2500,15.214,20.1022,4.68254,34.018141
"2",3750,15.207,20.0999,4.68257,34.020246
"3",5000,15.217,20.0989,4.68337,34.027564
"4",6250,15.251,20.0968,4.68327,34.028435
"5",7750,15.322,20.0923,4.68235,34.024553
"6",9000,15.205,20.0941,4.68338,34.031528
"7",10250,15.172,20.1056,4.68315,34.020377
"8",11500,15.266,20.097,4.68221,34.019636
"9",12750,15.227,20.0881,4.68261,34.030097
"10",14250,15.264,20.0872,4.68182,34.024376
"11",15500,15.2,20.0846,4.68256,34.032527
"12",16750,15.202,20.0986,4.68195,34.016249
"13",18000,15.214,20.0953,4.68176,34.017362
"14",19500,15.266,20.0955,4.68118,34.012459
"15",20750,15.227,20.0914,4.6818,34.020833
"16",22000,15.236,20.1089,4.68137,34.003199
"17",23250,15.236,20.1032,4.68126,34.006904
"18",24500,15.266,20.1002,4.68176,34.013387
"19",26000,15.203,20.0988,4.68203,34.016738
"20",27250,15.196,20.1011,4.68208,34.01529
"21",28500,15.258,20.095,4.68214,34.020684
"22",29750,15.261,20.0937,4.68224,34.022547
"23",31250,15.194,20.0933,4.68246,34.024685
"24",32500,15.243,20.0941,4.68212,34.021253
"25",33750,15.249,20.0889,4.68228,34.026755
"26",35000,15.18,20.0979,4.68275,34.023336
"27",36250,15.246,20.1074,4.68241,34.012873
"28",37750,15.198,20.1018,4.68288,34.021238
"29",39000,15.243,20.1082,4.68206,34.009379
"30",40250,15.249,20.1064,4.68233,34.013028
"31",41500,15.19,20.1041,4.68308,34.021012
"32",43000,15.216,20.1074,4.6826,34.01443
"33",44250,15.271,20.0991,4.68233,34.018915
"34",45500,15.25,20.0916,4.68273,34.028238
"35",46750,15.186,20.1006,4.68305,34.023596
"36",48000,15.24,20.1,4.68363,34.028785
"37",49500,15.245,20.0892,4.6838,34.038895
"38",50750,15.197,20.088,4.68374,34.039393
"39",52000,15.221,20.089,4.68335,34.035399
"40",53250,15.236,20.0888,4.68319,34.034252
"41",54750,15.2,20.0861,4.68289,34.034003
"42",56000,15.264,20.0862,4.68187,34.025592
"43",57250,15.242,20.0894,4.68226,34.02619
"44",58500,15.17,20.0948,4.68256,34.024296
"45",59750,15.216,20.1017,4.68223,34.01602
"46",61250,15.27,20.1005,4.68286,34.0221
"47",62500,15.25,20.0986,4.68291,34.024049
"48",63750,15.221,20.1023,4.68322,34.023595
"49",65000,15.238,20.1055,4.6844,34.030613
"50",66500,15.187,20.1085,4.68477,34.031219
"51",67750,15.198,20.1072,4.6855,34.03821
"52",69000,15.259,20.0997,4.68567,34.045634
"53",70250,15.24,20.0984,4.68523,34.043108
"54",71500,15.22,20.0976,4.68507,34.042458
"55",73000,15.217,20.0927,4.68464,34.042918
"56",74250,15.276,20.0876,4.68346,34.037407
"57",75500,15.237,20.0982,4.68414,34.034394
"58",76750,15.259,20.112,4.68351,34.01811
"59",78250,15.266,20.1411,4.68385,33.99739
"60",79500,15.221,20.1501,4.68437,33.994376
"61",80750,15.245,20.1479,4.68368,33.99053
"62",82000,15.3,20.1405,4.68292,33.990296
"63",83250,15.276,20.1263,4.68363,34.007537
"64",84750,15.257,20.1152,4.68356,34.015934
"65",86000,15.218,20.1146,4.68379,34.018304
"66",87250,15.228,20.1289,4.6833,34.00277
"67",88500,15.269,20.0941,4.68228,34.022547
"68",89750,15.283,20.0741,4.6812,34.029904
"69",91250,15.225,20.0709,4.68162,34.035933
"70",92500,15.27,20.0847,4.68129,34.022077
"71",93750,15.383,20.0803,4.68175,34.02934
"72",95000,15.255,20.0901,4.68242,34.026924
"73",96500,15.133,20.0999,4.68257,34.020271
"74",97750,15.211,20.0952,4.68168,34.016793
"75",99000,15.291,20.1115,4.68121,33.999779
"76",100250,15.277,20.1159,4.68186,34.001524
"77",101500,15.327,20.1194,4.68174,33.997705
"78",103000,15.266,20.1166,4.68231,34.004625
"79",104250,15.184,20.13,4.68212,33.992296
"80",105500,15.216,20.1375,4.68268,33.990792
"81",106750,15.247,20.1319,4.68325,33.999936
"82",108250,15.312,20.1263,4.68359,34.007199
"83",109500,15.261,20.1149,4.68409,34.020489
"84",110750,15.283,20.1191,4.68445,34.02002
"85",112000,15.243,20.111,4.68467,34.028366
"86",113250,15.21,20.1079,4.68457,34.030068
"87",114750,15.268,20.1139,4.68467,34.026015
"88",116000,15.228,20.1209,4.68475,34.021028
