"","apply.t.abs..median..MARGIN...2."
"X400",-0.00628
"X401",-0.00628199999999997
"X402",-0.00534719999999993
"X403",-0.00469400000000003
"X404",-0.00378391304347824
"X405",-0.00287869565217388
"X406",-0.00189714285714285
"X407",-0.000839523809523813
"X408",0.000529999999999978
"X409",0.00283999999999996
"X410",0.00564909090909083
"X411",0.00891363636363631
"X412",0.01227
"X413",0.01537
"X414",0.0185546153846154
"X415",0.0207007692307693
"X416",0.022155641025641
"X417",0.0236533333333333
"X418",0.0251630769230769
"X419",0.026081914893617
"X420",0.0267625531914894
"X421",0.0274387234042553
"X422",0.0281089361702128
"X423",0.02879
"X424",0.029185
"X425",0.02957
"X426",0.03001
"X427",0.0304216666666667
"X428",0.0307781818181818
"X429",0.0308372727272727
"X430",0.03088
"X431",0.0309909090909091
"X432",0.0310963636363636
"X433",0.0309621951219512
"X434",0.0307129268292683
"X435",0.0305217073170732
"X436",0.030340487804878
"X437",0.0300540540540541
"X438",0.029727027027027
"X439",0.0294237837837838
"X440",0.02912
"X441",0.028797619047619
"X442",0.0284714285714286
"X443",0.0281414285714286
"X444",0.0277952380952381
"X445",0.0274221951219512
"X446",0.0270034146341463
"X447",0.0265585365853659
"X448",0.0261575609756098
"X449",0.0258566666666667
"X450",0.0255861904761905
"X451",0.0253142857142857
"X452",0.0250669047619048
"X453",0.0247554761904762
"X454",0.0244221428571429
"X455",0.0241116666666667
"X456",0.0237866666666667
"X457",0.0234634146341463
"X458",0.0231107317073171
"X459",0.0227475609756098
"X460",0.0224056097560976
"X461",0.0220617948717949
"X462",0.0217046153846154
"X463",0.0213428205128205
"X464",0.0209876923076923
"X465",0.02066
"X466",0.0204488888888889
"X467",0.0202042222222222
"X468",0.0199726666666667
"X469",0.0197502222222222
"X470",0.0195166666666667
"X471",0.01929875
"X472",0.0190991666666667
"X473",0.0188979166666667
"X474",0.01866
"X475",0.0184404255319149
"X476",0.0182272340425532
"X477",0.0180223404255319
"X478",0.0177912765957447
"X479",0.0175812244897959
"X480",0.0174591836734694
"X481",0.0173395918367347
"X482",0.0171763265306122
"X483",0.0170371428571429
"X484",0.0168961904761905
"X485",0.0167633333333333
"X486",0.0166257142857143
"X487",0.0164709523809524
"X488",0.0163395348837209
"X489",0.0162258139534884
"X490",0.016123023255814
"X491",0.0160325581395349
"X492",0.0159293023255814
"X493",0.0157913636363636
"X494",0.0156156818181818
"X495",0.0154506818181818
"X496",0.0153275
"X497",0.0151872093023256
"X498",0.0150060465116279
"X499",0.0148646511627907
"X500",0.0147132558139535
"X501",0.0145882608695652
"X502",0.0145165217391304
"X503",0.01443
"X504",0.0143430434782609
"X505",0.0142469565217391
"X506",0.0141925
"X507",0.01415
"X508",0.01413625
"X509",0.01412
"X510",0.01409625
"X511",0.0140802222222222
"X512",0.01404
"X513",0.0140137777777778
"X514",0.0139753333333333
"X515",0.0139189361702128
"X516",0.0137548936170213
"X517",0.0136097872340426
"X518",0.0134627659574468
"X519",0.0133159574468085
"X520",0.0131846666666667
"X521",0.0130366666666667
"X522",0.0129097777777778
"X523",0.012778
"X524",0.0126623255813953
"X525",0.0126411627906977
"X526",0.0126039534883721
"X527",0.0125583720930233
"X528",0.0125025581395349
"X529",0.012446976744186
"X530",0.0123811627906977
"X531",0.0123223255813954
"X532",0.0122272093023256
"X533",0.0121160975609756
"X534",0.0119960975609756
"X535",0.0118709756097561
"X536",0.0117373170731707
"X537",0.011606976744186
"X538",0.0114802325581395
"X539",0.011376976744186
"X540",0.0112423255813953
"X541",0.011123023255814
"X542",0.0111304651162791
"X543",0.0111023255813953
"X544",0.0110946511627907
"X545",0.0110751162790698
"X546",0.0110448936170213
"X547",0.010983829787234
"X548",0.0109476595744681
"X549",0.0109008510638298
"X550",0.0108429545454545
"X551",0.01079
"X552",0.0107456818181818
"X553",0.0107015909090909
"X554",0.0106745454545455
"X555",0.0106159090909091
"X556",0.0105777272727273
"X557",0.0105229545454545
"X558",0.0104493181818182
"X559",0.0103878260869565
"X560",0.0103882608695652
"X561",0.010375
"X562",0.0103386956521739
"X563",0.010254347826087
"X564",0.0102531111111111
"X565",0.0102408888888889
"X566",0.010228
"X567",0.0102228888888889
"X568",0.0102138461538461
"X569",0.0101761538461538
