"","apply.t.ate..median..MARGIN...2."
"X400",0.09736
"X401",0.0958268
"X402",0.0920996000000001
"X403",0.09059
"X404",0.0948691304347825
"X405",0.0983408695652172
"X406",0.104545909090909
"X407",0.110996363636364
"X408",0.111182
"X409",0.108484
"X410",0.103896842105263
"X411",0.0983994736842105
"X412",0.0903549999999999
"X413",0.0816806249999999
"X414",0.0731399999999998
"X415",0.0639833333333331
"X416",0.0544444444444443
"X417",0.0452794444444444
"X418",0.03641
"X419",0.032208
"X420",0.02805
"X421",0.023966
"X422",0.019882
"X423",0.01585
"X424",0.01136875
"X425",0.00680750000000002
"X426",0.00223750000000003
"X427",-0.00234666666666663
"X428",-0.00596434782608695
"X429",-0.00722521739130434
"X430",-0.00848826086956522
"X431",-0.00969608695652174
"X432",-0.0107095652173913
"X433",-0.0091414285714285
"X434",-0.00583809523809521
"X435",-0.00234285714285717
"X436",0.00119285714285707
"X437",0.00485999999999993
"X438",0.00857277777777774
"X439",0.0122566666666667
"X440",0.0160961111111111
"X441",0.019106
"X442",0.021993
"X443",0.024874
"X444",0.027748
"X445",0.0302707317073171
"X446",0.0325456097560976
"X447",0.0347124390243902
"X448",0.0369260975609756
"X449",0.0383466666666667
"X450",0.0393680952380952
"X451",0.0403078571428571
"X452",0.041265
"X453",0.0421380487804878
"X454",0.0428646341463415
"X455",0.0433178048780488
"X456",0.0439195121951219
"X457",0.0444236363636364
"X458",0.0446331818181818
"X459",0.0447509090909091
"X460",0.0447781818181818
"X461",0.04505
"X462",0.04497
"X463",0.04493
"X464",0.044955
"X465",0.04501
"X466",0.0448513636363636
"X467",0.0446281818181818
"X468",0.0445704545454545
"X469",0.0443518181818182
"X470",0.0443761224489796
"X471",0.0441528571428571
"X472",0.0439467346938776
"X473",0.0439375510204082
"X474",0.0439765306122449
"X475",0.04406
"X476",0.043994347826087
"X477",0.0439584782608696
"X478",0.0440795652173913
"X479",0.0442626530612245
"X480",0.0443665306122449
"X481",0.0442742857142857
"X482",0.0443385714285714
"X483",0.0444465306122449
"X484",0.0444058139534884
"X485",0.0442639534883721
"X486",0.04395
"X487",0.0436483720930233
"X488",0.0434367441860465
"X489",0.0436906818181818
"X490",0.0439459090909091
"X491",0.0440515909090909
"X492",0.0443043181818182
"X493",0.0443560465116279
"X494",0.0442760465116279
"X495",0.0441406976744186
"X496",0.0438146511627907
"X497",0.0438222727272727
"X498",0.0438409090909091
"X499",0.04365
"X500",0.0436390909090909
"X501",0.0436909090909091
"X502",0.0435848936170213
"X503",0.0435327659574468
"X504",0.0434497872340426
"X505",0.0433214893617022
"X506",0.04325
"X507",0.0432027083333333
"X508",0.043063125
"X509",0.0431377083333333
"X510",0.0431066666666666
"X511",0.0430455319148936
"X512",0.0427976595744681
"X513",0.0426270212765958
"X514",0.042488085106383
"X515",0.0425063829787234
"X516",0.0425204255319149
"X517",0.0425182978723404
"X518",0.0423965957446809
"X519",0.0422963829787234
"X520",0.0423034042553192
"X521",0.042638
"X522",0.0428706666666667
"X523",0.0429915555555555
"X524",0.0432853333333333
"X525",0.0435341860465116
"X526",0.0435160465116279
"X527",0.043543488372093
"X528",0.0435097674418605
"X529",0.0435880487804879
"X530",0.0438404878048781
"X531",0.0441131707317073
"X532",0.0442451219512195
"X533",0.04459
"X534",0.0446622222222222
"X535",0.0448733333333333
"X536",0.0449166666666667
"X537",0.0450444444444444
"X538",0.0451051219512195
"X539",0.0452717073170732
"X540",0.0452131707317073
"X541",0.0452592682926829
"X542",0.0453902222222222
"X543",0.0455702222222222
"X544",0.0455913333333333
"X545",0.0456864444444445
"X546",0.0459133333333333
"X547",0.0457815909090909
"X548",0.0456093181818182
"X549",0.0454190909090909
